Model: aqhi_6h
RMSE: 0.6237135951109666
MAE: 0.31333916478317414
R2: 0.6468076464401826
OOB: 0.6677465796617912

Top Features:
AQHI              0.218589
AQHI_lag1         0.141375
AQHI_lag2         0.116430
PM25              0.095942
AQHI_lag12        0.078611
AQHI_lag3         0.077705
AQHI_lag6         0.039057
sin_hour          0.038901
AQHI_change_1h    0.036624
AQHI_lag24        0.031441
O3                0.024835
AQHI_change_3h    0.024113
TEMP              0.015603
sin_doy           0.012821
cos_doy           0.011788
dtype: float64
